relError,absError,step,nbQuadptsTrimmedElems,nbQuadptsNonTrimmedElems,IntegrationTime_sec_
1.29539155833395e-06,1.62783704127367e-07,0,300,36,0.1350613
1.0723403721588e-06,1.34754265412873e-07,0.01,300,36,0.1287089
5.70021466327767e-07,7.16310100401518e-08,0.02,300,36,0.1381046
2.7996885438217e-07,3.5181923846439e-08,0.03,300,36,0.1345632
1.41060422202571e-06,1.77261754441549e-07,0.04,300,18,0.1376575
2.04909580150964e-06,2.57496972660975e-07,0.05,302,18,0.1362911
4.5515257299919e-06,5.71961591838699e-07,0.06,350,18,0.1431738
2.87569662657002e-06,3.61370695839414e-07,0.07,350,18,0.1393292
