relError,absError,step,nbQuadptsTrimmedElems,nbQuadptsNonTrimmedElems,IntegrationTime_sec_
2.22044604925031e-15,2.22044604925031e-15,0,36,0,0.0047327
2.22044604925031e-15,2.22044604925031e-15,0.04,36,0,0.0031452
2.22044604925031e-15,2.22044604925031e-15,0.041,36,0,0.0031634
2.22044604925031e-15,2.22044604925031e-15,0.042,36,0,0.0032194
2.22044604925031e-15,2.22044604925031e-15,0.043,36,0,0.0032462
2.22044604925031e-15,2.22044604925031e-15,0.044,36,0,0.0032398
2.22044604925031e-15,2.22044604925031e-15,0.045,36,0,0.0033634
2.22044604925031e-15,2.22044604925031e-15,0.046,36,0,0.0031592
2.22044604925031e-15,2.22044604925031e-15,0.047,36,0,0.0031624
2.22044604925031e-15,2.22044604925031e-15,0.048,36,0,0.003113
2.22044604925031e-15,2.22044604925031e-15,0.049999,36,0,0.0031669
2.22044604925031e-15,2.22044604925031e-15,0.05,9,0,0.0023479
2.22044604925031e-15,2.22044604925031e-15,0.050001,9,0,0.0023388
2.22044604925031e-15,2.22044604925031e-15,0.2,9,0,0.0024059
2.22044604925031e-15,2.22044604925031e-15,0.289999,9,0,0.0023978
