relError,absError,step,nbQuadptsTrimmedElems,nbQuadptsNonTrimmedElems,IntegrationTime_sec_
2.22044604925031e-15,2.22044604925031e-15,0,81,0,0.1197101
2.22044604925031e-15,2.22044604925031e-15,0.03125,90,0,0.0705612
2.22044604925031e-15,2.22044604925031e-15,0.06,90,0,0.1445642
2.22044604925031e-15,2.22044604925031e-15,0.062499,90,0,0.0548474
2.22044604925031e-15,2.22044604925031e-15,0.0625,90,0,0.0517888
2.22044604925031e-15,2.22044604925031e-15,0.062501,90,0,0.048257
2.22044604925031e-15,2.22044604925031e-15,0.065,90,0,0.0693933
2.22044604925031e-15,2.22044604925031e-15,0.09375,90,0,0.0689313
2.22044604925031e-15,2.22044604925031e-15,0.125,81,0,0.0613434
