relError,absError,step,nbQuadptsTrimmedElems,nbQuadptsNonTrimmedElems,IntegrationTime_sec_
2.22044604925031e-15,2.22044604925031e-15,0,50,0,0.1101901
2.22044604925031e-15,2.22044604925031e-15,0.03125,50,0,0.0648372
2.22044604925031e-15,2.22044604925031e-15,0.06,50,0,0.0569524
2.22044604925031e-15,2.22044604925031e-15,0.062499,50,0,0.0470746
2.22044604925031e-15,2.22044604925031e-15,0.0625,50,0,0.0509376
2.22044604925031e-15,2.22044604925031e-15,0.062501,50,0,0.0524037
2.22044604925031e-15,2.22044604925031e-15,0.065,50,0,0.0528829
2.22044604925031e-15,2.22044604925031e-15,0.09375,50,0,0.0504839
2.22044604925031e-15,2.22044604925031e-15,0.125,50,0,0.0597684
