relError,absError,step,nbQuadptsTrimmedElems,nbQuadptsNonTrimmedElems,IntegrationTime_sec_
7.88258347483861e-15,3.94129173741931e-15,0,0,0,0.6029184
5.44226972855469e-15,2.77555756156289e-15,0.01,0,0,0.5442176
5.33761069531325e-15,2.77555756156289e-15,0.02,0,0,0.6146693
5.44637710193473e-15,2.88657986402541e-15,0.03,0,0,0.6148282
5.34551826671372e-15,2.88657986402541e-15,0.04,0,0,0.6318427
5.45018575725077e-15,2.99760216648792e-15,0.05,0,0,0.6189676
5.55111512312578e-15,3.10862446895044e-15,0.06,0,0,0.6451947
5.84327907697451e-15,3.33066907387547e-15,0.07,0,0,0.615622
5.55111512312578e-15,3.21964677141295e-15,0.08,0,0,0.6348976
5.83337521413218e-15,3.44169137633799e-15,0.09,0,0,0.589812
5.73615229389664e-15,3.44169137633799e-15,0.1,0,0,0.6709685
