relError,absError,step,nbQuadptsTrimmedElems,nbQuadptsNonTrimmedElems,IntegrationTime_sec_
1e-15,1e-15,0,288,216,3.9317698
0.00251906318082785,0.0012847222222222,0.01,288,288,4.4939397
6.67735042735147e-05,3.47222222222276e-05,0.02,288,288,4.4144337
0.00235849056603769,0.00124999999999997,0.03,288,288,3.5278259
0.00469393004115217,0.00253472222222217,0.04,288,288,2.7042691
0.0022095959595957,0.00121527777777763,0.05,288,288,2.9211194
0.00328621031746043,0.00184027777777784,0.06,288,288,4.0440791
0.0055433723196882,0.00315972222222227,0.07,288,288,4.505589
0.00425047892720316,0.00246527777777783,0.08,288,288,4.2394919
0.00100047080979281,0.000590277777777759,0.09,288,288,4.4878291
0.00318287037037031,0.00190972222222219,0.1,288,288,4.0145088
