relError,absError,step,nbQuadptsTrimmedElems,nbQuadptsNonTrimmedElems,IntegrationTime_sec_
2.22044604925031e-15,2.22044604925031e-15,0,100,0,0.0091932
2.22044604925031e-15,2.22044604925031e-15,0.04,100,0,0.0042562
2.22044604925031e-15,2.22044604925031e-15,0.041,100,0,0.0041828
2.22044604925031e-15,2.22044604925031e-15,0.042,100,0,0.0041943
2.22044604925031e-15,2.22044604925031e-15,0.043,100,0,0.0041881
2.22044604925031e-15,2.22044604925031e-15,0.044,100,0,0.0041128
2.22044604925031e-15,2.22044604925031e-15,0.045,100,0,0.0042933
2.22044604925031e-15,2.22044604925031e-15,0.046,100,0,0.0041118
2.22044604925031e-15,2.22044604925031e-15,0.047,100,0,0.0041877
2.22044604925031e-15,2.22044604925031e-15,0.048,100,0,0.0041547
2.22044604925031e-15,2.22044604925031e-15,0.049999,100,0,0.0041562
2.22044604925031e-15,2.22044604925031e-15,0.05,100,0,0.0041389
2.22044604925031e-15,2.22044604925031e-15,0.050001,100,0,0.0041284
2.22044604925031e-15,2.22044604925031e-15,0.2,100,0,0.0041812
2.22044604925031e-15,2.22044604925031e-15,0.289999,100,0,0.0042294
