relError,absError,step,nbQuadptsTrimmedElems,nbQuadptsNonTrimmedElems,IntegrationTime_sec_
2.22044604925031e-15,2.22044604925031e-15,0,0,288,0.0144077
2.22044604925031e-15,2.22044604925031e-15,0.01,72,288,0.0091528
2.22044604925031e-15,2.22044604925031e-15,0.02,72,288,0.0088137
2.22044604925031e-15,2.22044604925031e-15,0.03,72,288,0.0088224
2.22044604925031e-15,2.22044604925031e-15,0.04,72,288,0.0088976
2.22044604925031e-15,2.22044604925031e-15,0.05,72,288,0.0088698
2.22044604925031e-15,2.22044604925031e-15,0.06,72,288,0.0087565
2.22044604925031e-15,2.22044604925031e-15,0.07,72,288,0.0091053
2.22044604925031e-15,2.22044604925031e-15,0.08,72,288,0.0087256
2.22044604925031e-15,2.22044604925031e-15,0.09,72,288,0.0086345
2.22044604925031e-15,2.22044604925031e-15,0.1,72,288,0.0087047
