relError,absError,step,nbQuadptsTrimmedElems,nbQuadptsNonTrimmedElems,IntegrationTime_sec_
2.22044604925031e-15,2.22044604925031e-15,0,204,0,0.0768747
2.22044604925031e-15,2.22044604925031e-15,0.03125,204,0,0.0600601
2.22044604925031e-15,2.22044604925031e-15,0.06,204,0,0.0744225
2.22044604925031e-15,2.22044604925031e-15,0.062499,204,0,0.0830313
2.22044604925031e-15,2.22044604925031e-15,0.0625,204,0,0.0533152
2.22044604925031e-15,2.22044604925031e-15,0.062501,204,0,0.0612001
2.22044604925031e-15,2.22044604925031e-15,0.065,204,0,0.0738206
2.22044604925031e-15,2.22044604925031e-15,0.09375,204,0,0.052263
2.22044604925031e-15,2.22044604925031e-15,0.125,204,0,0.0529489
