relError,absError,step,nbQuadptsTrimmedElems,nbQuadptsNonTrimmedElems,IntegrationTime_sec_
0.040075231481484,0.00801504629629679,0,234,54,1.4939218
0.0280309606481506,0.00509653829966375,0.0454545454545455,198,54,1.3725186
0.00697391546639434,0.00114118616722816,0.0909090909090909,164,54,1.3886331
0.0434811439043224,0.0063245300224469,0.136363636363636,254,18,1.2828443
0.0449494323192239,0.00572083684062849,0.181818181818182,212,18,1.2173862
0.0500016075102877,0.00545472081930411,0.227272727272727,172,18,1.2697592
0.0345293209876542,0.00313902918069583,0.272727272727273,134,18,1.1452634
0.0461335358796296,0.00335516624579124,0.318181818181818,162,0,1.1654535
0.032761059670782,0.00178696689113356,0.363636363636364,122,0,1.1746471
0.0477912808641967,0.00173786475869806,0.409090909090909,82,0,1.0311876
0.0118875385802487,0.000216137065095431,0.454545454545455,44,0,1.0427475
