relError,absError,step,nbQuadptsTrimmedElems,nbQuadptsNonTrimmedElems,IntegrationTime_sec_
2.22044604925031e-15,2.22044604925031e-15,0,228,0,0.0253823
2.22044604925031e-15,2.22044604925031e-15,0.01,228,0,0.0145648
2.22044604925031e-15,2.22044604925031e-15,0.02,228,0,0.0145556
2.22044604925031e-15,2.22044604925031e-15,0.03,228,0,0.0127207
2.22044604925031e-15,2.22044604925031e-15,0.04,228,0,0.0153892
2.22044604925031e-15,2.22044604925031e-15,0.05,228,0,0.0135244
2.22044604925031e-15,2.22044604925031e-15,0.06,228,0,0.0127649
2.22044604925031e-15,2.22044604925031e-15,0.07,228,0,0.0125054
