relError,absError,step,nbQuadptsTrimmedElems,nbQuadptsNonTrimmedElems,IntegrationTime_sec_
4.40076416234008e-06,5.53016334503553e-07,0,108,36,0.0151768
0.000127045834286852,1.59650503865905e-05,0.01,108,36,0.0129602
1.34590064030943e-05,1.69130862562317e-06,0.02,108,36,0.0123533
0.000139729343226679,1.75589071268745e-05,0.03,108,36,0.0124466
0.000263928882487942,3.31662815317713e-05,0.04,126,18,0.012715
0.000361569947200674,4.54362195953795e-05,0.05,126,18,0.0128415
0.000409953573151043,5.15162853489681e-05,0.06,162,18,0.0171919
0.000393499130533569,4.94485591071292e-05,0.07,162,18,0.0147422
