relError,absError,step,nbQuadptsTrimmedElems,nbQuadptsNonTrimmedElems,IntegrationTime_sec_
1.47980058392133e-07,1.85957225729005e-08,0,100,0,0.0096648
1.47980058392133e-07,1.85957225729005e-08,0.01,100,0,0.0042516
1.47980058613005e-07,1.85957226006561e-08,0.02,100,0,0.0043522
1.47980058613005e-07,1.85957226006561e-08,0.03,100,0,0.0041396
1.47980058613005e-07,1.85957226006561e-08,0.04,100,0,0.0042594
1.47980058392133e-07,1.85957225729005e-08,0.05,100,0,0.005272
1.47980058392133e-07,1.85957225729005e-08,0.06,100,0,0.004223
1.47980058392133e-07,1.85957225729005e-08,0.07,100,0,0.0041939
