relError,absError,step,nbQuadptsTrimmedElems,nbQuadptsNonTrimmedElems,IntegrationTime_sec_
2.22044604925031e-15,2.22044604925031e-15,0,432,0,0.0094469
2.22044604925031e-15,2.22044604925031e-15,0.04,432,0,0.0079318
2.22044604925031e-15,2.22044604925031e-15,0.041,432,0,0.0107494
2.22044604925031e-15,2.22044604925031e-15,0.042,432,0,0.0087396
2.22044604925031e-15,2.22044604925031e-15,0.043,432,0,0.0084933
2.22044604925031e-15,2.22044604925031e-15,0.044,432,0,0.0086259
2.22044604925031e-15,2.22044604925031e-15,0.045,432,0,0.0083473
2.22044604925031e-15,2.22044604925031e-15,0.046,432,0,0.0087964
2.22044604925031e-15,2.22044604925031e-15,0.047,432,0,0.0081119
2.22044604925031e-15,2.22044604925031e-15,0.048,432,0,0.0098169
2.22044604925031e-15,2.22044604925031e-15,0.049999,432,0,0.0101934
2.22044604925031e-15,2.22044604925031e-15,0.05,432,0,0.0097312
2.22044604925031e-15,2.22044604925031e-15,0.050001,432,0,0.0082583
2.22044604925031e-15,2.22044604925031e-15,0.2,432,0,0.0088404
2.22044604925031e-15,2.22044604925031e-15,0.289999,432,0,0.0085361
