relError,absError,step,nbQuadptsTrimmedElems,nbQuadptsNonTrimmedElems,IntegrationTime_sec_
2.22044604925031e-15,2.22044604925031e-15,0,432,0,0.0152383
2.22044604925031e-15,2.22044604925031e-15,0.01,432,0,0.0143665
2.22044604925031e-15,2.22044604925031e-15,0.02,432,0,0.0157554
2.22044604925031e-15,2.22044604925031e-15,0.03,432,0,0.0136707
2.22044604925031e-15,2.22044604925031e-15,0.04,432,0,0.0100244
2.22044604925031e-15,2.22044604925031e-15,0.05,432,0,0.0088197
2.22044604925031e-15,2.22044604925031e-15,0.06,432,0,0.0085257
2.22044604925031e-15,2.22044604925031e-15,0.07,432,0,0.0092157
2.22044604925031e-15,2.22044604925031e-15,0.08,432,0,0.0081261
2.22044604925031e-15,2.22044604925031e-15,0.09,432,0,0.0092863
2.22044604925031e-15,2.22044604925031e-15,0.1,432,0,0.0103736
