relError,absError,step,nbQuadptsTrimmedElems,nbQuadptsNonTrimmedElems,IntegrationTime_sec_
3.62321820392142e-05,7.24643640784284e-06,0,502,54,0.1988156
0.00036189647946773,6.57993599032236e-05,0.0454545454545455,552,36,0.1978092
0.000271538425776393,4.44335605815915e-05,0.0909090909090909,552,36,0.2041108
0.000423416217033134,6.15878133866377e-05,0.136363636363636,404,18,0.1776055
0.000586134790929409,7.45989733910157e-05,0.181818181818182,402,18,0.1745313
0.000113792787114937,1.24137585943568e-05,0.227272727272727,402,18,0.1709278
0.00229894732512367,0.000208995211374879,0.272727272727273,352,0,0.1611756
0.00272789373277172,0.000198392271474307,0.318181818181818,302,0,0.1537925
0.00451422196303833,0.000246230288893,0.363636363636364,302,0,0.1518896
0.0064676392875809,0.00023518688318476,0.409090909090909,202,0,0.1356698
0.00759276016570015,0.000138050184830912,0.454545454545455,202,0,0.1392782
