relError,absError,step,nbQuadptsTrimmedElems,nbQuadptsNonTrimmedElems,IntegrationTime_sec_
2.22044604925031e-15,2.22044604925031e-15,0,216,54,0.0118455
2.22044604925031e-15,2.22044604925031e-15,0.0454545454545455,216,54,0.0084386
2.22044604925031e-15,2.22044604925031e-15,0.0909090909090909,216,54,0.0086406
2.22044604925031e-15,2.22044604925031e-15,0.136363636363636,180,18,0.0066826
2.22044604925031e-15,2.22044604925031e-15,0.181818181818182,180,18,0.0069695
2.22044604925031e-15,2.22044604925031e-15,0.227272727272727,180,18,0.0065832
2.22044604925031e-15,2.22044604925031e-15,0.272727272727273,126,18,0.0057939
2.22044604925031e-15,2.22044604925031e-15,0.318181818181818,126,0,0.0050415
2.22044604925031e-15,2.22044604925031e-15,0.363636363636364,126,0,0.0050633
2.22044604925031e-15,2.22044604925031e-15,0.409090909090909,72,0,0.0039058
2.22044604925031e-15,2.22044604925031e-15,0.454545454545455,72,0,0.0039441
