relError,absError,step,nbQuadptsTrimmedElems,nbQuadptsNonTrimmedElems,IntegrationTime_sec_
0.000488221645355939,7.81154632569503e-05,0,236,0,0.2255865
0.00024603307247073,2.95239686964877e-05,0.1,319,0,0.2836233
0.000488221645355766,3.90577316284613e-05,0.2,315,0,0.2710094
0.000871136784551251,3.48454713820501e-05,0.3,307,0,0.3040628
6.94827694015335e-05,2.50137969845521e-06,0.31,284,0,0.3558188
0.000573480268938573,1.83513686060344e-05,0.32,284,0,0.3258969
0.000580261461434992,1.62473209201798e-05,0.33,261,0,0.357608
5.5598405519254e-06,1.3343617324621e-07,0.34,266,0,0.3670502
0.000773347914216799,1.5466958284336e-05,0.35,266,0,0.3455608
0.000209587393330303,3.35339829328485e-06,0.36,266,0,0.351289
0.000499024987222664,5.98829984667197e-06,0.37,266,0,0.3651212
7.3934439571684e-05,5.91475516573473e-07,0.38,266,0,0.3718029
0.000957970973102265,3.83188389240906e-06,0.39,266,0,0.3665453
1,4.00000000011502e-07,0.399999,0,0,0.2746963
