relError,absError,step,nbQuadptsTrimmedElems,nbQuadptsNonTrimmedElems,IntegrationTime_sec_
9.89138101425782e-08,1.42884140352795e-08,0,117,0,0.14887
1.79358867991179e-05,2.59089581430838e-06,0.03125,153,0,0.147345
2.94023161883436e-06,4.24725795811209e-07,0.06,171,0,0.151066
1.45126334094969e-06,2.09639598958145e-07,0.062499,225,0,0.15025
1.43789224257271e-06,2.0770810132964e-07,0.0625,243,0,0.146964
1.45609609104596e-06,2.1033770505885e-07,0.062501,261,0,0.179772
2.98114668910556e-06,4.30636107662252e-07,0.065,171,0,0.150551
2.39750447410997e-05,3.46327135999913e-06,0.09375,135,0,0.150118
8.78180542180523e-08,1.26855968507478e-08,0.125,117,0,0.148773
