relError,absError,step,nbQuadptsTrimmedElems,nbQuadptsNonTrimmedElems,IntegrationTime_sec_
2.22044604925031e-15,2.22044604925031e-15,0,243,0,0.0082008
2.22044604925031e-15,2.22044604925031e-15,0.142799666072263,243,0,0.0077148
2.22044604925031e-15,2.22044604925031e-15,0.285599332144527,243,0,0.0080424
2.22044604925031e-15,2.22044604925031e-15,0.42839899821679,243,0,0.0069728
2.22044604925031e-15,2.22044604925031e-15,0.571198664289053,243,0,0.0083352
2.22044604925031e-15,2.22044604925031e-15,0.713998330361317,243,0,0.0075181
2.22044604925031e-15,2.22044604925031e-15,0.85679799643358,243,0,0.0080768
2.22044604925031e-15,2.22044604925031e-15,0.999597662505843,243,0,0.0064066
2.22044604925031e-15,2.22044604925031e-15,1.14239732857811,243,0,0.0059137
2.22044604925031e-15,2.22044604925031e-15,1.28519699465037,243,0,0.0063495
2.22044604925031e-15,2.22044604925031e-15,1.42799666072263,243,0,0.0053371
