relError,absError,step,nbQuadptsTrimmedElems,nbQuadptsNonTrimmedElems,IntegrationTime_sec_
2.22044604925031e-15,2.22044604925031e-15,0,0,288,0.409535
2.22044604925031e-15,2.22044604925031e-15,0.01,72,288,0.446483
2.22044604925031e-15,2.22044604925031e-15,0.02,72,288,0.425081
2.22044604925031e-15,2.22044604925031e-15,0.03,72,288,0.407786
2.22044604925031e-15,2.22044604925031e-15,0.04,72,288,0.416679
2.22044604925031e-15,2.22044604925031e-15,0.05,72,288,0.447904
2.22044604925031e-15,2.22044604925031e-15,0.06,72,288,0.417776
2.22044604925031e-15,2.22044604925031e-15,0.07,72,288,0.432381
2.22044604925031e-15,2.22044604925031e-15,0.08,72,288,0.405516
2.22044604925031e-15,2.22044604925031e-15,0.09,72,288,0.423315
2.22044604925031e-15,2.22044604925031e-15,0.1,72,288,0.433323
