relError,absError,step,nbQuadptsTrimmedElems,nbQuadptsNonTrimmedElems,IntegrationTime_sec_
0.00210693137783925,0.000264764805529505,0,1948,0,0.6294716
0.00202786838080616,0.000254829456303507,0.01,2138,0,0.8002641
0.00205010206951063,0.000257623424027353,0.02,2120,0,0.6791147
0.00211994549696094,0.00026640020797053,0.03,1984,0,0.6546782
0.00209142708558245,0.000262816478703382,0.04,2192,0,0.6589493
0.00208454946454298,0.000261952211354111,0.05,2110,0,0.806359
0.0021260523501251,0.000267167617772013,0.06,1870,0,0.6604848
0.00207879835039831,0.000261229505036237,0.07,2174,0,0.6734215
