relError,absError,step,nbQuadptsTrimmedElems,nbQuadptsNonTrimmedElems,IntegrationTime_sec_
0.0360672553250831,0.00303325617283949,0,49,0,0.4337057
2.22044604925031e-15,2.22044604925031e-15,0.04,36,0,0.3268956
0.00804825728617347,0.000499000000000041,0.041,36,0,0.3267357
0.0161940686784607,0.000996000000000045,0.042,36,0,0.3238526
0.0244390171941851,0.00149100000000004,0.043,36,0,0.3268316
0.032784718091084,0.00198400000000004,0.044,36,0,0.3261439
0.0412328196584764,0.00247500000000005,0.045,36,0,0.3246028
0.0497850040311751,0.00296400000000004,0.046,36,0,0.3267138
0.0584429880268937,0.00345100000000004,0.047,36,0,0.3244226
0.0672085240079237,0.00393600000000004,0.048,36,0,0.3239785
0.0850604022555884,0.00489951999900003,0.049999,36,0,0.3248892
0.0850694444444452,0.00490000000000004,0.05,36,0,0.3239139
0.0850784867463292,0.00490047999900001,0.050001,36,0,0.254107
0.00618236549306338,5.00771604938135e-05,0.2,4,0,0.267427
1,1.00000000005751e-12,0.289999,0,0,0.2307578
