relError,absError,step,nbQuadptsTrimmedElems,nbQuadptsNonTrimmedElems,IntegrationTime_sec_
2.22044604925031e-15,2.22044604925031e-15,0,288,0,0.2799255
1.91482843132727e-05,9.76562499976907e-06,0.01,1184,0,0.3782506
3.7560096153385e-05,1.95312499997602e-05,0.02,1760,0,0.3779127
5.52771226410402e-05,2.92968749997513e-05,0.03,1760,0,0.3786508
4.06901041671436e-05,2.19726562502576e-05,0.04,1472,0,0.3788505
2.21946022732117e-05,1.22070312502665e-05,0.05,2048,0,0.3766202
4.35965401834881e-06,2.44140625027534e-06,0.06,2048,0,0.3771495
1.28495065788383e-05,7.32421874993783e-06,0.07,1328,0,0.3737642
2.94652478445137e-05,1.70898437498179e-05,0.08,1904,0,0.5439575
4.55177436437441e-05,2.6855468749809e-05,0.09,1904,0,0.3805087
4.06901041668147e-05,2.44140625000888e-05,0.1,1616,0,0.3773971
