relError,absError,step,nbQuadptsTrimmedElems,nbQuadptsNonTrimmedElems,IntegrationTime_sec_
1e-15,1e-15,0,99,0,0.219633
1e-15,1e-15,0.04,180,0,0.220797
1e-15,1e-15,0.041,126,0,0.228637
1e-15,1e-15,0.042,117,0,0.227642
1e-15,1e-15,0.043,135,0,0.225144
1e-15,1e-15,0.044,144,0,0.222695
1e-15,1e-15,0.045,126,0,0.227591
1e-15,1e-15,0.046,108,0,0.229469
1e-15,1e-15,0.047,144,0,0.22689
1e-15,1e-15,0.048,135,0,0.22802
1e-15,1e-15,0.049999,216,0,0.282103
1e-15,1e-15,0.05,126,0,0.28151
1e-15,1e-15,0.050001,117,0,0.280271
1e-15,1e-15,0.2,63,0,0.204157
1e-15,1e-15,0.289999,18,0,0.205099
