relError,absError,step,nbQuadptsTrimmedElems,nbQuadptsNonTrimmedElems,IntegrationTime_sec_
2.22044604925031e-15,2.22044604925031e-15,0,100,0,0.0105683
2.22044604925031e-15,2.22044604925031e-15,0.01,100,0,0.0042045
2.22044604925031e-15,2.22044604925031e-15,0.02,100,0,0.0042091
2.22044604925031e-15,2.22044604925031e-15,0.03,100,0,0.0041781
2.22044604925031e-15,2.22044604925031e-15,0.04,100,0,0.0041083
2.22044604925031e-15,2.22044604925031e-15,0.05,100,0,0.00415
2.22044604925031e-15,2.22044604925031e-15,0.06,100,0,0.004249
2.22044604925031e-15,2.22044604925031e-15,0.07,100,0,0.0043532
2.22044604925031e-15,2.22044604925031e-15,0.08,100,0,0.005613
2.22044604925031e-15,2.22044604925031e-15,0.09,100,0,0.0043086
2.22044604925031e-15,2.22044604925031e-15,0.1,100,0,0.0040773
