relError,absError,step,nbQuadptsTrimmedElems,nbQuadptsNonTrimmedElems,IntegrationTime_sec_
2.22044604925031e-15,2.22044604925031e-15,0,0,288,1.1606546
0.0144335511982572,0.00736111111111115,0.01,48,288,1.0689804
0.00507478632478626,0.00263888888888886,0.02,48,288,1.1130733
0.0238469601677148,0.0126388888888889,0.03,48,288,1.1590047
0.00951646090534923,0.00513888888888858,0.04,96,288,1.1961908
0.00883838383838441,0.00486111111111143,0.05,96,288,1.2363137
0.00446428571428542,0.00249999999999984,0.06,144,288,1.2921581
0.0173001949317746,0.00986111111111154,0.07,192,288,1.1946409
0.000239463601531647,0.000138888888888355,0.08,192,288,1.2383947
0.0171845574387938,0.0101388888888884,0.09,192,288,1.2860113
0.0127314814814822,0.00763888888888931,0.1,240,288,1.3148514
