relError,absError,step,nbQuadptsTrimmedElems,nbQuadptsNonTrimmedElems,IntegrationTime_sec_
2.22044604925031e-15,2.22044604925031e-15,0,432,0,0.009604
2.22044604925031e-15,2.22044604925031e-15,0.1,432,0,0.0096322
2.22044604925031e-15,2.22044604925031e-15,0.2,432,0,0.0116529
2.22044604925031e-15,2.22044604925031e-15,0.3,432,0,0.0092968
2.22044604925031e-15,2.22044604925031e-15,0.31,432,0,0.0108674
2.22044604925031e-15,2.22044604925031e-15,0.32,432,0,0.0115263
2.22044604925031e-15,2.22044604925031e-15,0.33,432,0,0.0103195
2.22044604925031e-15,2.22044604925031e-15,0.34,432,0,0.0107846
2.22044604925031e-15,2.22044604925031e-15,0.35,432,0,0.0106677
2.22044604925031e-15,2.22044604925031e-15,0.36,432,0,0.0112482
2.22044604925031e-15,2.22044604925031e-15,0.37,432,0,0.0099129
2.22044604925031e-15,2.22044604925031e-15,0.38,432,0,0.0089797
2.22044604925031e-15,2.22044604925031e-15,0.39,432,0,0.0083647
2.22044604925031e-15,2.22044604925031e-15,0.399999,432,0,0.0080889
