relError,absError,step,nbQuadptsTrimmedElems,nbQuadptsNonTrimmedElems,IntegrationTime_sec_
2.22044604925031e-15,2.22044604925031e-15,0,530,0,0.2981643
1.64492576105377e-06,2.03522848574167e-07,0.142799666072263,2011,0,0.7246625
2.36674128011012e-06,2.83858953578631e-07,0.285599332144527,1920,0,0.761361
1.71071939458866e-05,1.9451563704892e-06,0.42839899821679,1860,0,0.7600003
1.3518140049309e-05,1.42152288422348e-06,0.571198664289053,1799,0,0.7963603
1.45484728167288e-06,1.37437526734341e-07,0.713998330361317,1626,0,0.9751466
1.94507447610496e-05,1.59219112375042e-06,0.85679799643358,1559,0,0.7827035
1.18523017108753e-06,8.0097976071225e-08,0.999597662505843,1385,0,0.7604075
8.27339160597354e-06,4.2961138519565e-07,1.14239732857811,1246,0,0.7034191
4.53600749835317e-05,1.59742623795367e-06,1.28519699465037,1021,0,0.6816834
3.15370324760939e-05,5.61023459556831e-07,1.42799666072263,796,0,0.6048496
