relError,absError,h,nbQuadptsTrimmedElems,nbQuadptsNonTrimmedElems,IntegrationTime_sec_
3.70693442647488e-06,4.65827118462103e-07,0.25,64,0,0.005236
3.70693442647488e-06,4.65827118462103e-07,0.0625,64,0,0.0041838
2.79708514275284e-08,3.51492085437499e-09,0.015625,192,64,0.0099669
4.21388155797455e-11,5.29531973825215e-12,0.00390625,576,384,0.0239332
1.09693355270325e-10,1.37844735625947e-11,0.0009765625,1088,1664,0.0467574
